time,value3,value1,value2
0,-50,0.242394,-4.41615
1.5,-21,0.299362,-4.3667
3,-29,0.37504,-4.3884
4.5,-3,0.313045,-4.38903
6,-55,0.232899,-4.32331
7.5,-41,0.23262,-4.35794
9,20,0.230107,-4.40113
10.5,-44,0.164202,-4.5403
12,21,0.124269,-4.44787
13.5,-83,0.205532,-4.35815
15,-7,0.37867,-4.35627
16.5,-50,0.353817,-4.43952
18,45,0.328404,-4.43973
19.5,-59,0.285399,-4.36608
21,-4,0.250213,-4.32289
22.5,-42,0.391795,-4.40009
24,15,0.444016,-4.44265
25.5,-70,0.337061,-4.33269
27,38,0.269761,-4.40468
28.5,-28,0.414415,-4.44724
30,2,0.182075,-4.4005
31.5,-44,0.370851,-4.38277
33,-24,0.274787,-4.42471
34.5,-4,0.272553,-4.42179
36,-64,0.271716,-4.40259
37.5,-39,0.377553,-4.41281
39,32,0.436197,-4.45329
40.5,-10,0.289588,-4.45454
42,-59,0.36387,-4.34354
43.5,-1,0.290426,-4.48208
45,-77,0.238205,-4.34229
46.5,34,0.358843,-4.37672
48,-57,0.271716,-4.45162
49.5,-18,0.275904,-4.40196
51,-58,0.37895,-4.41073
52.5,21,0.201902,-4.43952
54,-64,0.297407,-4.38423
55.5,0,0.381463,-4.47541
57,-166,0.0245745,-4.3786
58.5,48,0.347394,-4.47979
60,-45,0.261383,-4.42596
61.5,-59,0.340971,-4.4222
63,-54,0.484229,-4.35794
64.5,-39,0.367779,-4.50065
66,-6,0.2477,-4.32351
67.5,-58,0.385093,-4.40009
69,-15,0.337899,-4.42533
70.5,-55,0.267806,-4.3811
72,-3,0.418045,-4.41469
73.5,-36,0.496516,-4.28554
75,-3,0.349349,-4.34354
76.5,-81,0.436476,-4.33958
78,-14,0.251888,-4.45371
79.5,-48,0.345439,-4.45371
81,26,0.30383,-4.49377
82.5,-12,0.393471,-4.34396
84,23,0.313045,-4.44161
85.5,-106,0.319189,-4.46101
87,20,0.230944,-4.42429
88.5,-25,0.354654,-4.42909
90,75,0.214747,-4.38799
91.5,-226,0.312487,-4.38903
93,140,0.364428,-4.43347
94.5,-78,0.345718,-4.47603
96,44,0.252168,-4.53258
97.5,-8,0.289029,-4.46247
99,-50,0.331476,-4.43869
100.5,8,0.384814,-4.44244
102,-59,0.225638,-4.44077
103.5,-14,0.385373,-4.43743
105,-55,0.377274,-4.41031
106.5,46,0.216702,-4.38694
108,-42,0.38258,-4.44098
109.5,-13,0.317234,-4.45183
111,30,0.261942,-4.43743
112.5,-211,0.24016,-4.41845
114,-22,0.325053,-4.45642
115.5,31,0.0714894,-4.50608
117,16,0.247141,-4.44974
118.5,13,0.301875,-4.42199
120,-80,0.409947,-4.44641
121.5,-37,0.332593,-4.39633
123,-144,0.552926,-4.48125
124.5,-145,0.314442,-4.39988
126,116,0.496516,-4.41511
127.5,-118,0.399894,-4.39404
129,52,0.308857,-4.42074
130.5,-62,0.49875,-4.43535
132,-44,0.565213,-4.27824
133.5,-67,0.445971,-4.39988
135,-18,0.495399,-4.39967
136.5,-53,0.460772,-4.40885
138,0,0.373644,-4.37839
139.5,-66,0.505732,-4.33478
141,-8,0.456024,-4.40217
142.5,-34,0.424189,-4.39466
144,-1,0.372527,-4.39591
145.5,-38,0.313883,-4.38715
147,32,0.323936,-4.45267
148.5,0,0.39012,-4.45663
150,-28,0.518577,-4.3617
151.5,-37,0.304668,-4.44036
153,47,0.366383,-4.44599
154.5,56,0.396822,-4.42971
156,-251,0.295173,-4.43326
157.5,134,0.37867,-4.49961
159,-119,0.337341,-4.36044
160.5,82,0.325612,-4.38569
162,-5,0.321144,-4.4222
163.5,-34,0.312487,-4.44807
165,-19,0.30383,-4.34334
166.5,1,0.335386,-4.42012
168,-47,0.37141,-4.34396
169.5,-11,0.235133,-4.37839
171,-19,0.238484,-4.4124
172.5,-55,0.255519,-4.40134
174,-33,0.313883,-4.35731
175.5,25,0.242673,-4.39132
177,-7,0.440944,-4.40989
178.5,-19,0.277021,-4.48
180,-59,0.383139,-4.41886
181.5,-57,0.35996,-4.32727
183,-61,0.210279,-4.44557
184.5,-28,0.441224,-4.43514
186,15,0.297686,-4.43326
187.5,-94,0.328684,-4.39195
189,-30,0.263896,-4.47916
190.5,-61,0.347394,-4.34626
192,-18,0.430891,-4.38193
193.5,-56,0.465519,-4.32498
195,56,0.213351,-4.3955
196.5,-124,0.385652,-4.32831
198,-48,0.421397,-4.33416
199.5,-27,0.392354,-4.41281
201,-15,0.469149,-4.39675
202.5,-35,0.436756,-4.37421
204,-32,0.268644,-4.36462
205.5,-12,0.355772,-4.4005
207,-26,0.378112,-4.34876
208.5,-22,0.260266,-4.40322
210,-48,0.296011,-4.37505
211.5,6,0.299083,-4.43931
213,3,0.216423,-4.34021
214.5,-38,0.318631,-4.43952
216,-65,0.447088,-4.3884
217.5,28,0.240718,-4.42888
219,-31,0.188218,-4.40509
220.5,-12,0.32617,-4.40885
222,-78,0.312208,-4.35377
223.5,-3,0.452115,-4.46936
225,-61,0.28875,-4.42033
226.5,48,0.390678,-4.35043
228,-42,0.340692,-4.39925
229.5,-16,0.194641,-4.38757
231,-25,0.399056,-4.49106
232.5,-11,0.359402,-4.47562
234,-55,0.324495,-4.34271
235.5,-2,0.264734,-4.43618
237,-80,0.312208,-4.42199
238.5,-34,0.222846,-4.31183
240,-20,0.353258,-4.46122
241.5,0,0.214189,-4.39404
243,-55,0.240998,-4.35481
244.5,-49,0.255519,-4.4076
246,56,0.244628,-4.39174
247.5,-189,0.349907,-4.43055
249,16,0.301317,-4.33582
250.5,-81,0.394588,-4.32831
252,14,0.259708,-4.39779
253.5,-78,0.295452,-4.47749
255,10,0.144934,-4.26155
256.5,-89,0.294615,-4.33478
258,-43,0.361077,-4.42325
259.5,-92,0.41246,-4.46289
261,-5,0.361357,-4.31746
262.5,-52,0.496796,-4.32247
264,-38,0.408272,-4.40676
265.5,-40,0.320306,-4.44265
267,-55,0.206091,-4.41678
268.5,-29,0.3002,-4.38423
270,-32,0.357447,-4.40301
271.5,-8,0.402966,-4.30098
273,-33,0.302713,-4.32581
274.5,-3,0.279814,-4.45141
276,-85,0.325612,-4.4439
277.5,-24,0.362753,-4.33875
279,-34,0.419163,-4.32769
280.5,13,0.457141,-4.47812
282,-36,0.274508,-4.44432
283.5,-23,0.254402,-4.37484
285,-150,0.109189,-4.398
286.5,125,0.329521,-4.39925
288,-59,0.227872,-4.38903
289.5,-10,0.305226,-4.45433
291,-31,0.172301,-4.39007
292.5,22,0.308019,-4.38757
294,-53,0.33008,-4.46936
295.5,-43,0.327846,-4.39007
297,22,0.257753,-4.45517
298.5,-41,0.411623,-4.45955
300,19,0.218378,-4.29514
301.5,-72,0.192128,-4.39696
303,-45,0.292939,-4.42199
304.5,-53,0.447647,-4.36962
306,35,0.327008,-4.40989
307.5,-55,0.280093,-4.41031
309,-10,0.346835,-4.46205
310.5,-58,0.511596,-4.44474
312,-21,0.310811,-4.3329
313.5,-64,0.360519,-4.37943
315,16,0.363591,-4.31308
316.5,-95,0.304947,-4.35878
318,-59,0.287912,-4.40363
319.5,-55,0.298524,-4.40843
321,-27,0.219495,-4.39883
322.5,-80,0.249096,-4.42533
324,-89,0.370851,-4.42137
325.5,37,0.1575,-4.44056
327,-55,0.254402,-4.39091
328.5,-21,0.335944,-4.39758
330,-18,0.382859,-4.41177
331.5,106,0.346277,-4.36357
333,-344,0.21754,-4.36733
334.5,24,0.309694,-4.34542
336,214,0.312766,-4.39946
337.5,-105,0.325891,-4.28471
339,-70,0.395147,-4.43597
340.5,213,0.456862,-4.36858
342,-64,0.41274,-4.32977
343.5,-70,0.364987,-4.34563
345,-97,0.327287,-4.32185
346.5,23,0.280931,-4.36503
348,-3,0.409109,-4.28262
349.5,-8,0.286795,-4.39821
351,13,0.344043,-4.369
352.5,38,0.284282,-4.36796
354,-68,0.308019,-4.40196
355.5,-50,0.274787,-4.48813
357,20,0.207487,-4.42846
358.5,-25,0.239322,-4.44745
360,21,0.160293,-4.35878
361.5,-49,0.0628325,-4.39049
363,277,0.285958,-4.53946
364.5,-535,0.0821011,-4.40864
366,62,0.235133,-4.49481
367.5,205,0.344322,-4.43117
369,392,0.332593,-4.40468
370.5,-346,0.299083,-4.36378
372,-128,0.182633,-4.45496
373.5,85,0.250771,-4.37442
375,151,0.354934,-4.4003
376.5,-135,0.207766,-4.38047
378,-93,0.275904,-4.37672
379.5,-38,0.333431,-4.40113
381,-40,0.325612,-4.3667
382.5,-37,0.321144,-4.36962
384,-5,0.233458,-4.32727
385.5,30,0.298245,-4.36733
387,-53,0.0594814,-4.35126
388.5,-40,0.213351,-4.33603
390,-48,0.224242,-4.37839
391.5,-79,0.226197,-4.32477
393,-68,0.190452,-4.31934
394.5,42,0.0929921,-4.40405
396,-113,0.219495,-4.42053
397.5,-261,0.158338,-4.46289
399,-93,0.111423,-4.47728
400.5,62,0.283165,-4.41448
402,120,0.0728857,-4.37901
403.5,-3,0.239043,-4.33061
405,-121,0.217261,-4.39049
406.5,131,0.189056,-4.45559
408,-274,0.160572,-4.41907
409.5,-79,0.316396,-4.39174
411,258,0.0935506,-4.42137
412.5,77,0.236809,-4.3907
414,-100,0.257753,-4.45517
415.5,-77,0.180958,-4.58578
417,-89,0.222846,-4.38152
418.5,-87,0.164761,-4.45475
420,17,0.21,-4.41594
421.5,57,0.225918,-4.3425
423,117,0.111144,-4.48834
424.5,-118,0.0759575,-4.41073
426,78,0.167833,-4.48271
427.5,-154,0.257753,-4.45726
429,-37,0.235133,-4.37714
430.5,186,0.177607,-4.39863
432,-178,0.285958,-4.3763
433.5,-12,0.143537,-4.41031
435,195,0.142141,-4.38861
436.5,14,0.152194,-4.46998
438,-85,0.171742,-4.41427
439.5,-34,0.129854,-4.47582
441,-122,0.076516,-4.46685
442.5,84,0.169229,-4.47937
444,-244,0.119521,-4.42575
445.5,-22,-0.0594814,-4.47708
447,192,0.175372,-4.456
448.5,33,0.0985772,-4.49168
450,-124,0.238763,-4.38152
451.5,-86,0.169229,-4.37275
453,-63,0.17258,-4.51401
454.5,-20,0.212234,-4.42429
456,-121,0.0969017,-4.37651
457.5,-40,0.0572474,-4.51651
459,-41,0.110585,-4.45705
460.5,4,0.135439,-4.39925
462,-57,0.0293218,-4.35878
463.5,17,0.155825,-4.34647
465,-58,-0.0106117,-4.4583
466.5,-66,0.0100532,-4.47749
468,-8,-0.0192686,-4.42387
469.5,-52,0.141303,-4.33979
471,99,0.214189,-4.41594
472.5,102,0.363591,-4.4172
474,-447,0.0304389,-4.4028
475.5,-35,0.0614362,-4.4343
477,170,0.178724,-4.46518
478.5,129,0.206091,-4.43347
480,-30,0.00837767,-4.43368
481.5,-55,0.0709309,-4.32727
483,-28,0.118963,-4.46727
