time,value4,value1,value2,value3
0,-22,0,0,0
1.5,-12,-0.00198002,0.00140869,0.0106679
3,-12,5.80E-05,-0.00721098,0.0143374
4.5,5,-0.0140552,-0.0100329,0.00723057
6,-16,-0.0263116,-0.00848322,0.0199968
7.5,-7,-0.0217254,-0.00929938,0.0378546
9,-21,-0.0335585,-0.0149398,0.0482489
10.5,0,-0.0353947,-0.0115711,0.0541319
12,-17,-0.040051,-0.019232,0.0571356
13.5,-1,-0.0390916,-0.0193832,0.0486969
15,-10,-0.0249951,-0.0289463,0.0466023
16.5,-9,-0.01932,-0.0314949,0.0343977
18,-22,-0.02468,-0.0347522,0.0565336
19.5,-5,-0.0221104,-0.0325609,0.0547481
21,-13,-0.0387441,-0.0313408,0.0495321
22.5,-5,-0.0206605,-0.0229786,0.0538032
24,-17,-0.0273944,-0.0217333,0.0590271
25.5,-21,-0.0292078,-0.0316259,0.0521561
27,-3,-0.0407517,-0.0446036,0.0593079
28.5,-33,-0.043419,-0.0370154,0.0635351
30,-1,-0.0382123,-0.0513138,0.0652489
31.5,-11,-0.0317772,-0.0458482,0.0618593
33,-10,-0.0226207,-0.0302062,0.0566458
34.5,-19,-0.012398,-0.0289241,0.0508765
36,-11,-0.022861,-0.0281268,0.062315
37.5,-11,-0.0251947,-0.0116126,0.060798
39,10,-0.026627,-0.0107749,0.0658044
40.5,-29,-0.0421159,-0.0173005,0.0814157
42,-5,-0.044945,-0.0112895,0.09248
43.5,-21,-0.0467254,-0.0199966,0.0963971
45,2,-0.0365593,-0.0172917,0.0731911
46.5,-12,-0.0319036,-0.0169173,0.0843019
48,3,-0.0276961,-0.0227474,0.0843643
49.5,-11,-0.0368862,-0.0308,0.0772906
51,-9,-0.0412925,-0.0288661,0.0600603
52.5,-17,-0.0474736,-0.0313166,0.0581602
54,-6,-0.0570547,-0.0331247,0.0640069
55.5,-3,-0.0659268,-0.0215884,0.0554102
57,-19,-0.0540937,-0.0302916,0.0503397
58.5,2,-0.0530784,-0.030363,0.0361019
60,-12,-0.0583995,-0.0124117,0.046673
61.5,-15,-0.0416971,-0.0208943,0.0533229
63,-9,-0.0350479,-0.0213222,0.0480097
64.5,-2,-0.0223398,-0.0106616,0.0478595
66,-13,-0.018886,-0.0182759,0.0476698
67.5,-10,-0.00487064,-0.0141638,0.0425837
69,-25,-0.0335485,-0.0190218,0.0420593
70.5,-3,-0.0352901,-0.0316268,0.0339254
72,-18,-0.0376009,-0.0424342,0.0274183
73.5,-6,-0.0602639,-0.0533644,0.0334713
75,-21,-0.0546824,-0.038237,0.028723
76.5,-10,-0.0570265,-0.0345873,0.019851
78,-19,-0.0443173,-0.0276698,0.010182
79.5,-8,-0.0384963,-0.0254863,0.0190915
81,-16,-0.0341293,-0.0263664,0.0364353
82.5,-6,-0.0301044,-0.0344186,0.0417969
84,-16,-0.0399237,-0.0361774,0.0411518
85.5,-21,-0.0468615,-0.0303887,0.0341377
87,4,-0.0297623,-0.0403777,0.0264067
88.5,-22,-0.0267557,-0.0480262,0.0361021
90,-11,-0.0375345,-0.0359462,0.0341983
91.5,-6,-0.0334564,-0.0385036,0.0366019
93,-11,-0.0401423,-0.0472122,0.0302197
94.5,-17,-0.0377641,-0.0544457,0.0241758
96,-7,-0.0443612,-0.0591283,0.0324758
97.5,-16,-0.0491076,-0.0742201,0.0226447
99,8,-0.0530013,-0.067181,0.0396254
100.5,-27,-0.0561646,-0.072172,0.0382679
102,-5,-0.0584054,-0.0667989,0.0454869
103.5,-17,-0.0510707,-0.0671834,0.046432
105,6,-0.0500806,-0.057059,0.0400645
106.5,-19,-0.0606856,-0.0542517,0.0338585
108,2,-0.0509148,-0.0471705,0.0436621
109.5,-16,-0.0587935,-0.0393355,0.0469876
111,-12,-0.0616676,-0.0359229,0.0546518
112.5,-12,-0.0684098,-0.0449954,0.0620342
