time,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17
0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,41,0.00921115,0.021289,-0.0432541,0.0204434,0.0154716,-0.0198433,-0.0250985,-0.0474149,-0.0171511,-0.00609026,-0.026216,0.0365703,0.00840796,-0.0241454,0.0325871,-0.066397
3,-15,0.00846383,0.0427886,-0.0213253,0.00486611,0.0245771,0.0262663,-0.00787572,-0.0552837,-0.0550393,0.00787804,-0.0387191,-0.0139921,0.0128221,-0.0566781,-0.0230944,-0.0616653
4.5,-6,0.00448913,0.0619043,-0.00108638,-0.0272934,0.0845132,0.0184178,-0.0200701,-0.107006,-0.0476643,0.0141628,-0.0862709,-0.015773,0.041178,-0.063083,0.0118022,-0.0951843
6,14,0.0224625,0.0901039,-0.00399547,-0.000665419,0.124506,-0.0317269,-0.00378294,-0.12077,-0.0269942,-0.0112216,-0.0925668,0.00488453,0.0345378,-0.0898158,0.0800468,-0.069639
7.5,25,0.007703,0.115717,-0.0548973,0.00631158,0.114338,-0.0502252,0.053716,-0.161404,-0.0377038,-0.0201189,-0.13917,0.0377864,0.0336064,-0.110698,0.165553,-0.0626751
9,33,0.0281357,0.168013,-0.0707832,-0.00180591,0.113303,-0.0948111,0.108494,-0.192931,-0.0554502,-0.0092663,-0.164376,0.0363928,0.0327681,-0.0697644,0.141914,-0.0346569
10.5,3,0.0513914,0.17484,-0.0430837,0.0671913,0.17299,-0.114573,0.117983,-0.182213,-0.0523999,0.000893942,-0.147938,0.00850576,0.0210834,-0.0646941,0.144724,-0.0376782
12,20,0.064327,0.167182,0.000958104,0.0532738,0.18562,-0.131314,0.059017,-0.226286,-0.0992367,-0.0223777,-0.196668,-0.00506493,0.0193954,-0.0849117,0.164256,-0.034292
13.5,14,0.052159,0.169647,0.00790366,0.0614794,0.220321,-0.121055,0.0747519,-0.259143,-0.0927433,-0.0319275,-0.223585,-0.012111,0.0218701,-0.0668895,0.188918,0.0183626
15,45,0.0231332,0.135838,-0.011999,0.0680006,0.237348,-0.14237,0.0188107,-0.269547,-0.0772322,-0.0175366,-0.242567,-0.0168625,0.0476395,-0.0945124,0.266371,0.0676597
16.5,32,0.0354187,0.109387,-0.0100447,0.0378777,0.26992,-0.16312,0.00827502,-0.279162,-0.0620249,-0.0208909,-0.232427,-0.0652617,0.0626343,-0.10603,0.330411,0.0528803
18,-19,0.0311816,0.10149,0.00453959,-0.0053572,0.241406,-0.164301,9.11E-05,-0.286807,-0.0383595,-0.00780003,-0.246895,-0.0348853,0.022739,-0.0878017,0.314372,0.0330917
19.5,39,-0.00304588,0.119882,-0.00194983,-0.0120199,0.262159,-0.159098,-0.0150637,-0.286878,-0.0657073,-0.0174324,-0.2458,-0.0397443,0.0215161,-0.157176,0.326857,0.0400855
21,15,-0.0162973,0.099706,0.0163515,-0.0470978,0.279821,-0.141622,0.00721385,-0.302579,-0.0516525,-0.0367104,-0.254897,-0.0166897,0.0241991,-0.220884,0.297005,0.00974713
22.5,55,-0.000242586,0.0843547,0.000885118,-0.0297188,0.259195,-0.14182,0.0315909,-0.323014,-0.056466,-0.0224305,-0.281033,-0.0189958,0.000128666,-0.229295,0.428823,-4.20E-06
24,-22,0.0211585,0.119667,0.0201604,-0.0509335,0.255088,-0.14252,0.0267009,-0.349729,-0.0349157,-0.0192051,-0.282372,-0.0405489,0.0177725,-0.257834,0.449698,0.00533851
25.5,25,0.00253209,0.103723,0.0176414,-0.0682991,0.258493,-0.16195,0.0551875,-0.352083,-0.0526291,0.00511179,-0.284788,-0.0770394,0.0176768,-0.244758,0.434482,0.00938376
27,18,-0.00745365,0.0938188,-0.0107794,-0.0735625,0.24913,-0.171342,0.044476,-0.343861,-0.0888405,-0.04864,-0.269013,-0.0828506,0.054796,-0.269844,0.366948,0.0107349
28.5,63,-0.00201582,0.102451,-0.0738282,-0.071677,0.229543,-0.182145,0.0491157,-0.327381,-0.105215,-0.0663689,-0.265908,-0.0638329,0.0505776,-0.215537,0.233908,0.0153853
30,8,0.0140011,0.0732561,-0.0164014,-0.0624938,0.226626,-0.223722,0.0394441,-0.31028,-0.0856505,-0.0605178,-0.26392,-0.0494996,0.0503544,-0.173651,0.309696,-0.0178253
31.5,-7,0.0332826,0.0404304,-0.0549976,-0.0933881,0.219181,-0.208399,0.0744456,-0.323388,-0.0926773,-0.0619315,-0.280885,-0.0711824,0.0816833,-0.120067,0.325481,0.0152477
33,-5,0.00284233,0.0101855,-0.0766574,-0.139909,0.241142,-0.213669,0.0518554,-0.297859,-0.09027,-0.0225367,-0.264493,-0.0974544,0.0875983,-0.167153,0.356691,0.0186837
34.5,38,-0.0322009,0.0278826,-0.0508853,-0.126206,0.238333,-0.199613,0.00296393,-0.28825,-0.0834259,-0.0291237,-0.260227,-0.171185,0.109738,-0.154886,0.33519,0.0164337
36,34,-0.0114275,0.013631,-0.0656635,-0.11848,0.213485,-0.214639,0.0048312,-0.269261,-0.0389101,-0.0256219,-0.233599,-0.206934,0.0827888,-0.136856,0.348426,0.00372416
37.5,-17,-0.0146297,0.0110981,-0.089023,-0.11527,0.20076,-0.208579,0.0112718,-0.309674,-0.04874,-0.0442774,-0.259041,-0.207706,0.0730386,-0.190523,0.350421,0.00754926
